[8 Apr 2026 18:15:58] DISTANCE CHECK: SimLat=48.722751278483614, SimLon=2.3583888451634816, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:59] DISTANCE CHECK: SimLat=48.72275127848366, SimLon=2.358388845163317, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:00] DISTANCE CHECK: SimLat=48.72275127848435, SimLon=2.358388845163155, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:01] DISTANCE CHECK: SimLat=48.72275127848476, SimLon=2.3583888451629647, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:02] DISTANCE CHECK: SimLat=48.72275127848548, SimLon=2.3583888451628185, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:03] DISTANCE CHECK: SimLat=48.7227512784859, SimLon=2.358388845162569, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:04] DISTANCE CHECK: SimLat=48.72275127848664, SimLon=2.3583888451624606, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:05] DISTANCE CHECK: SimLat=48.722751278487046, SimLon=2.3583888451623007, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:06] DISTANCE CHECK: SimLat=48.722751278487536, SimLon=2.3583888451620814, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:07] DISTANCE CHECK: SimLat=48.72275127848815, SimLon=2.3583888451619583, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:08] DISTANCE CHECK: SimLat=48.72275127848678, SimLon=2.3583888451616732, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:09] DISTANCE CHECK: SimLat=48.72275127848813, SimLon=2.358388845161516, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:10] DISTANCE CHECK: SimLat=48.72275127848844, SimLon=2.358388845161323, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:11] DISTANCE CHECK: SimLat=48.72275127848912, SimLon=2.358388845161105, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:12] DISTANCE CHECK: SimLat=48.72275127848961, SimLon=2.358388845160949, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:13] DISTANCE CHECK: SimLat=48.72275127849005, SimLon=2.3583888451607407, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:14] DISTANCE CHECK: SimLat=48.7227512784905, SimLon=2.358388845160679, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:15] DISTANCE CHECK: SimLat=48.72275127849112, SimLon=2.3583888451605133, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:16] DISTANCE CHECK: SimLat=48.722751278491685, SimLon=2.3583888451604245, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:17] DISTANCE CHECK: SimLat=48.722751278492225, SimLon=2.3583888451602997, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:18] DISTANCE CHECK: SimLat=48.72275127849341, SimLon=2.3583888451600927, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:19] DISTANCE CHECK: SimLat=48.72275127849314, SimLon=2.358388845159886, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:20] DISTANCE CHECK: SimLat=48.7227512784939, SimLon=2.3583888451597463, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:21] DISTANCE CHECK: SimLat=48.72275127849439, SimLon=2.3583888451594905, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:22] DISTANCE CHECK: SimLat=48.72275127849485, SimLon=2.3583888451592854, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:23] DISTANCE CHECK: SimLat=48.72275127849534, SimLon=2.3583888451591335, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:24] DISTANCE CHECK: SimLat=48.722751278495885, SimLon=2.358388845158912, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:25] DISTANCE CHECK: SimLat=48.72275127849639, SimLon=2.3583888451587893, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:26] DISTANCE CHECK: SimLat=48.722751278496894, SimLon=2.358388845158574, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:27] DISTANCE CHECK: SimLat=48.72275127849733, SimLon=2.3583888451583968, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:28] DISTANCE CHECK: SimLat=48.722751278498336, SimLon=2.3583888451583253, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:29] DISTANCE CHECK: SimLat=48.72275127850027, SimLon=2.3583888451580823, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:30] DISTANCE CHECK: SimLat=48.72275127850023, SimLon=2.3583888451579957, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:31] DISTANCE CHECK: SimLat=48.722751278501086, SimLon=2.358388845157692, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:32] DISTANCE CHECK: SimLat=48.722751278501484, SimLon=2.3583888451576263, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:33] DISTANCE CHECK: SimLat=48.72275127850232, SimLon=2.358388845157385, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:34] DISTANCE CHECK: SimLat=48.722751278501036, SimLon=2.3583888451572013, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:35] DISTANCE CHECK: SimLat=48.72275127850216, SimLon=2.358388845157033, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:36] DISTANCE CHECK: SimLat=48.72275127850248, SimLon=2.358388845156884, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:37] DISTANCE CHECK: SimLat=48.72275127850318, SimLon=2.3583888451566266, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:38] DISTANCE CHECK: SimLat=48.72275127850419, SimLon=2.3583888451565027, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:16:39] DISTANCE CHECK: SimLat=48.72275127850441, SimLon=2.35838884515635, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
